iter	Passed	Remaining
583	9854	7019
584	9873	7004
585	9892	6988
586	9910	6973
587	9930	6958
588	9950	6943
589	9965	6925
590	9984	6909
591	9993	6887
592	10010	6870
593	10029	6855
594	10047	6839
595	10066	6823
596	10076	6802
597	10095	6786
598	10108	6766
599	10123	6749
600	10142	6733
601	10161	6717
602	10173	6698
603	10185	6678
604	10203	6661
605	10220	6644
606	10228	6622
607	10246	6606
608	10261	6588
609	10269	6565
610	10281	6545
611	10299	6529
612	10317	6513
613	10336	6498
614	10354	6482
615	10370	6464
616	10387	6447
617	10396	6426
618	10414	6410
619	10421	6387
620	10440	6372
621	10459	6356
622	10477	6340
623	10490	6321
624	10508	6305
625	10518	6284
626	10537	6268
627	10555	6252
628	10563	6230
629	10581	6214
630	10599	6198
631	10610	6178
632	10628	6162
633	10646	6146
634	10656	6125
635	10663	6102
636	10681	6086
637	10699	6070
638	10717	6054
639	10735	6038
640	10755	6023
641	10771	6006
642	10790	5990
643	10808	5974
644	10826	5958
645	10844	5942
646	10852	5920
647	10870	5905
648	10886	5887
649	10904	5871
650	10922	5855
651	10940	5839
652	10948	5817
653	10966	5801
654	10984	5785
655	10996	5766
656	11014	5750
657	11032	5734
658	11050	5717
659	11068	5701
660	11086	5685
661	11102	5668
662	11118	5651
663	11135	5634
664	11153	5618
665	11171	5602
666	11184	5584
667	11203	5568
668	11213	5548
669	11231	5531
670	11248	5515
671	11261	5496
672	11280	5480
673	11295	5463
674	11309	5445
675	11327	5429
676	11346	5413
677	11353	5391
678	11369	5374
679	11385	5358
680	11404	5342
681	11420	5325
682	11438	5309
683	11456	5292
684	11475	5276
685	11489	5259
686	11507	5242
687	11516	5222
688	11526	5202
689	11543	5186
690	11561	5170
691	11569	5149
692	11579	5129
693	11586	5108
694	11596	5088
695	11613	5072
696	11632	5056
697	11649	5040
698	11668	5024
699	11687	5008
700	11706	4993
701	11721	4975
702	11739	4959
703	11759	4944
704	11778	4928
705	11796	4912
706	11814	4896
707	11832	4880
708	11850	4863
709	11867	4847
710	11886	4831
711	11905	4815
712	11917	4797
713	11935	4780
714	11953	4764
715	11971	4748
716	11990	4732
717	12009	4716
718	12027	4700
719	12045	4684
720	12064	4668
721	12082	4652
722	12101	4636
723	12118	4619
724	12136	4603
725	12154	4587
726	12172	4571
727	12190	4554
728	12207	4538
729	12217	4518
730	12233	4501
731	12250	4485
732	12269	4469
733	12287	4453
734	12298	4433
735	12316	4417
736	12335	4401
737	12353	4385
738	12372	4369
739	12382	4350
740	12400	4334
741	12419	4318
742	12438	4302
743	12456	4286
744	12475	4270
745	12490	4252
746	12509	4236
747	12526	4220
748	12539	4202
749	12557	4185
750	12575	4169
751	12592	4152
752	12612	4137
753	12630	4120
754	12649	4104
755	12666	4088
756	12674	4068
757	12692	4052
758	12711	4036
759	12729	4019
760	12749	4004
761	12768	3987
762	12786	3971
763	12804	3955
764	12812	3935
765	12831	3919
766	12841	3901
767	12859	3884
768	12878	3868
769	12897	3852
770	12915	3836
771	12935	3820
772	12953	3803
773	12972	3787
774	12990	3771
775	13003	3753
776	13016	3735
777	13034	3719
778	13052	3702
779	13059	3683
780	13077	3666
781	13095	3650
782	13102	3631
783	13115	3613
784	13133	3597
785	13141	3577
786	13149	3558
787	13167	3542
788	13182	3525
789	13199	3508
790	13218	3492
791	13237	3476
792	13255	3460
793	13274	3444
794	13292	3427
795	13302	3409
796	13320	3392
797	13341	3377
798	13360	3360
799	13373	3343
800	13391	3326
801	13401	3308
802	13416	3291
803	13432	3274
804	13450	3258
805	13469	3242
806	13486	3225
807	13504	3208
808	13521	3192
809	13539	3175
810	13557	3159
811	13565	3140
812	13583	3124
813	13601	3107
814	13620	3091
815	13638	3075
816	13656	3058
817	13674	3042
818	13683	3024
819	13702	3007
820	13715	2990
821	13733	2973
822	13747	2956
823	13766	2940
824	13775	2922
825	13793	2905
